smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
Cl[C@H](C(=O)NCC1=CC(=O)Oc2c(C)cc(C)cc12)c1ccccc1,,C41352362,100,0,0,0,0,0,0,0,0,0,0
S(=O)(=O)(N(CC(=O)NCc1cc(N2C(=O)CCC2)ccc1)c1ccc(OCC)cc1)c1ccc(C)cc1,,C22322502,100,0,0,0,0,0,0,0,0,0,0
O=C([C@H](Cc1ccccc1)N1C(=O)C=2[C@@H](c3ccc(C)cc3)NC(=O)N(C)C=2C1)N1CCCC1,,C35967026,99.963585,0,0,0,0,0,0,0,0,0,0
O=C(NNC(=O)CCC1CCCCC1)NCc1cc(N(C)C)[nH+]cc1,,C67059406,85.877594,0,0,0,0,0,0,0,0,0,0
Clc1c(OC)cc(Nc2c(C#N)cnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c(Cl)c1,61525,CHEMBL42136,82.339249,1,0,0,0,0,0,0,0,0,0
Fc1ccc([C@@H]2N3C(=O)N(c4c(C(=O)NCCCC)cccc4)C(=O)[C@@H]3CC=3[C@@H]2[NH+]=C2C=CC=CC=32)cc1,,C63375349,92.127167,0,0,0,0,0,0,0,0,0,0
Brc1c(OC)c(OC)cc([C@H](Nc2[nH+]cccc2)c2c(O)c3ncccc3cc2)c1,,C04164750,39.821598,0,0,0,0,0,0,0,0,0,0
Brc1c(C(=O)N2C[C@H](C(=O)NCCCCCC(=O)[O-])C3(C2)CC[NH2+]CC3)cc(OC)cc1,,C39660117,98.781189,0,0,0,0,0,0,0,0,0,0
Nc1ncnc2n(-c3ccccc3)cc(-c3ccccc3)c12,282345,CHEMBL169757,76.980354,1,0,1,1,0,0,1,0,0,0
S(=O)(=O)(N(CC)CC)c1cc(NC(=O)N2c3ccccc3Sc3ccccc23)c(OC)cc1,,C59244667,100,0,0,0,0,0,0,0,0,0,0
Oc1c(C(=O)N(CCC)[C@H](C(=O)NC(C)(C)CC(C)(C)C)c2ccc3OCOc3c2)c(O)ccc1,,C36571180,55.106026,0,0,0,0,0,0,0,0,0,0
O=C(N(C[C@H]1C(=O)[NH+]=C2C=CC(OC)=CC2=C1)c1c(OC)cccc1)c1cc(OC)c(OC)c(OC)c1,,C38964743,99.998123,0,0,0,0,0,0,0,0,0,0
O=C([C@H]1C(c2cc(OC)c(OC(C)C)cc2)=NO[C@]21C(=O)Nc1ccccc21)c1ccc(C)cc1,,C09043270,91.381454,0,0,0,0,0,0,0,0,0,0
S(CC(=O)N[C@H]1[C@@]2(C)C(C)(C)[C@@H](C1)CC2)c1n(N)c(-c2c(F)cccc2)nn1,,C36007623,99.878723,0,0,0,0,0,0,0,0,0,0
O=C(N)N/N=C(/C)\[C@@H]1[C@](C)(C(C)(C)C)C1,,C13749580,100,0,0,0,0,0,0,0,0,0,0
O=C(OC1CCCC1)C=1[C@@H](c2ccc3OCOc3c2)C=2C(=O)C[C@@H](c3ccc(OC)cc3)CC=2NC=1C,,C00861039,100,0,0,0,0,0,0,0,0,0,0
FC(F)(F)c1c(OC2CCN(C)CC2)ccc(NC(=O)c2cc(C#Cc3n4C=CC=Cc4nc3)c(C)cc2)c1,649581,CHEMBL1169881,99.248528,1,0,0,0,0,0,0,0,0,0
O=C(NN1C(=O)C2(NC1=O)CCC(C)CC2)C,,C23557249,99.694008,0,0,0,0,0,0,0,0,0,0
Clc1cc(C(=O)N(CCC=2CCCCC=2)C2=C(N)N(Cc3ccccc3)C(=O)NC2=O)ncc1,,C22573615,99.989304,0,0,0,0,0,0,0,0,0,0
ClC(Cl)(Cl)[C@H](Oc1ccc(/C=[NH+]/[C@@H]2CS(=O)(=O)CC2)cc1)NC(=O)C(C)C,,C26967436,98.909203,0,0,0,0,0,0,0,0,0,0
O=C1[C@H]([C@@H]([NH+](Cc2occc2)Cc2cnccc2)[C@H]2N(C3CCCCC3)NN=N2)C=C2C=C(C)C=CC2=[NH+]1,,C39710244,60.538033,0,0,0,0,0,0,0,0,0,0
Clc1c(C(=O)NC(C)(C)C)sc2c(NC(=O)c3oc(-c4c([N+](=O)[O-])cccc4)cc3)cccc12,,C21595337,100,0,0,0,1,0,0,0,0,0,0
O=C(NCC1(N2CCOCC2)CCCCC1)[C@@H]1C2(CN(C(=O)[C@@H]3CCC=CC3)C1)CC[NH2+]CC2,,C39672939,95.738068,0,0,0,0,0,0,0,0,0,0
S(CC(C)C)c1nc(N2CC[NH+](CC(=O)NCc3ccccc3)CC2)c2c(sc3CCCCc23)n1,,C34756202,82.590546,0,0,0,0,0,0,0,0,0,0
S(c1nc(C(F)(F)F)nc2ccccc12)C=1N(CCC)C(=O)c2ccccc2N=1,,C09737294,98.598869,0,0,0,0,0,0,0,0,0,0
S(=O)(=O)(N1CCC(C(=O)NC[C@H]([NH+](C)C)c2cc(F)ccc2)CC1)c1ccc2CCCc2c1,,C17794687,97.479172,0,0,0,0,0,0,0,0,0,0
Brc1c(CN2C(=O)[C@](C)(c3ccc(F)cc3)NC2=O)cccc1,,C14370886,99.999664,0,0,0,0,0,0,0,0,0,0
Brc1ccc(C2=NN=C3OC(N)=C(C#N)[C@@H](c4cc(Cl)c(O)c(OC)c4)[C@@H]23)cc1,,C00718463,43.783764,0,0,0,0,0,0,0,0,0,0
O=C(Nc1n(-c2scc(-c3oc4ccccc4c3)n2)nc(C)c1)/C=C/c1ccc2OCOc2c1,,C38866095,99.908859,0,0,0,0,0,0,0,0,0,0
Clc1ccc2[nH]cc(CCN3C(=O)C[C@H](C(=O)NC=4S[C@@H](C(C)(C)CC)NN=4)C3)c2c1,,C39252215,90.800095,0,0,0,0,0,0,0,0,0,0
O[C@H](C)[C@H]1N[C@]2(C(=O)Nc3c(C)cccc23)[C@@H]2C(=O)N(Cc3c(OC)cccc3)C(=O)[C@H]12,,C15956650,99.766243,0,0,0,0,0,0,0,0,0,0
O(C)C(=O)[C@@H]1[C@@H](C)CC=2NC(C)=C(C(OC(C)C)=O)[C@H](c3ccc(-c4ccccc4)cc3)C=2C1=O,,C04765413,99.999611,0,0,0,0,0,0,0,0,0,0
O=C(Nc1ccc(-c2n[nH]cc2)cc1)CCCC[C@H]1SC[C@H]2NC(=O)N[C@H]12,,C67234590,82.804863,0,0,0,1,0,0,0,0,0,0
O=C(NC1CC(C)(C)[NH2+]C(C)(C)C1)COc1ccc-2c(OC(=O)c3ccccc-23)c1,,C09486929,99.99321,0,0,0,0,0,0,1,0,0,0
Brc1c(O[C@@H](C)C(=O)Nc2c(Br)cc(C)cc2)ccc(C(=O)[O-])c1,,C13316476,99.097969,0,0,0,0,0,0,0,0,0,0
O=C1N(C(C)(C)C)C=CN=C1N[C@H]1[C@@H]([NH3+])CCCCC1,,C63214265,89.295799,0,0,0,1,0,0,0,0,0,0
S(CC(=O)Nc1c([N+](=O)[O-])cccc1)C1=C(C#N)[C@H](c2occc2)C(C(=O)Nc2ccccc2)=C(C)N1,,C09075596,99.99987,0,0,0,0,0,0,0,0,0,0
