smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
Clc1c(S)c(C(=O)N(CC(O)=O)C2CCCC2)ccc1,184594,CHEMBL326137,99.673004,1,0,0,0,0,0,0,0,1,0
OC(=O)[C@@H](N[C@H]1C(=O)N2[C@@H](C(O)=O)CCCC2c2ccccc2C1)CCc1ccccc1,127838,CHEMBL309424,65.532066,1,0,0,0,0,0,0,0,1,0
SC[C@@H](C)C(=O)N1[C@@H](SCCCc2ccccc2)CC[C@H]1C(O)=O,510013,CHEMBL443353,98.372833,1,0,0,0,0,0,0,0,1,0
OC(=O)[C@@H](NC1C(=O)N2[C@@H](C(O)=O)COCC2c2ccccc2C1)CCc1ccccc1,548126,CHEMBL554951,62.288704,1,0,0,0,0,0,0,0,1,0
SC(Cc1ccccc1)C(=O)NC1C(=O)N2[C@@H](C(O)=O)CCCC2c2ccccc2C1,127693,CHEMBL78429,90.240639,1,0,0,0,0,0,0,0,1,0
O=C1NCCC1,10290,CHEMBL276849,100,1,0,0,0,0,0,0,0,0,0
SC[C@@H](C)C(=O)N1[C@@H](SCCc2ccccc2)CC[C@H]1C(O)=O,510012,CHEMBL526298,98.372856,1,0,0,0,0,0,0,0,1,0
S[C@@H](C(C)C)C(=O)N[C@@H]([C@H](C)CC)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,23574,CHEMBL20341,90.781654,1,0,0,0,0,0,0,0,1,0
S[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N1C(C(O)=O)CCC1,23572,CHEMBL20326,90.340599,1,0,0,0,0,0,0,0,1,0
S[C@@H](CCc1ccccc1)C(=O)N[C@@H](C)C(=O)N1C(C(O)=O)CCC1,23535,CHEMBL410980,91.582535,1,0,0,0,0,0,0,0,1,0
SC[C@@H](C)C(=O)N1[C@H](C(O)=O)C[C@H](Sc2ccccc2)C1,16567,CHEMBL16332,98.383102,1,0,0,0,0,0,0,0,1,0
S(C[C@@H](C)C(=O)N1[C@H](C(O)=O)C[C@H](Sc2ccccc2)C1)C(=O)c1ccccc1,188706,CHEMBL331378,99.763977,1,0,0,0,0,0,0,0,1,0
S[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N1C(C(O)=O)CC2CCCCC12,22951,CHEMBL19951,90.341644,1,0,0,0,0,0,0,0,1,0
S[C@@H](Cc1ccc(OC)cc1)C(=O)NCC(=O)N1[C@H](C(O)=O)CC[C@@H]1c1c(O)cccc1,142275,CHEMBL88278,88.192535,1,0,0,0,0,0,0,0,0,0
OC(=O)[C@@H](N[C@@H](CCCCN)C(=O)N1[C@H](C(O)=O)CC2(SCCS2)C1)CCc1ccccc1,61425,CHEMBL295690,58.42625,1,0,0,0,0,0,0,0,1,0
OC(=O)[C@@H](N[C@@H](C)C(=O)N1[C@H](C(O)=O)SC(C(C)(C)C)=N1)CCc1ccccc1,231249,CHEMBL342372,54.499741,1,0,0,0,0,0,0,0,1,0
OC(=O)[C@@H](N[C@@H](C)C(=O)N1[C@H](C(O)=O)SC(C(C)(C)C)=N1)CCC,231281,CHEMBL138409,59.584927,1,0,0,0,0,0,0,0,1,0
Ic1ccc(NC(=O)CCC(NC(C)C(=O)N2C(C(O)=O)CCC2)C(O)=O)cc1,177424,CHEMBL110925,69.75605,1,0,0,0,1,0,0,0,1,0
SC[C@@H](C)C(=O)N1[C@@H](SCc2cc(C)ccc2)CC[C@H]1C(O)=O,510164,CHEMBL499612,98.372917,1,0,0,0,0,0,0,0,1,0
OC(=O)[C@H]1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(OCC)=O)C)[C@H]2CCCC[C@@H]2C1,421317,CHEMBL1519,99.44725,1,0,0,0,0,0,0,0,1,0
OC(=O)[C@H]1N(C(=O)[C@H](C)CC(=O)[C@@H](NC(=O)c2ccccc2)Cc2ccccc2)CCC1,158522,CHEMBL95564,99.747169,1,0,0,0,0,0,0,0,1,0
SCCC(=O)N1C(C)CCCC1C(O)=O,184992,CHEMBL331575,98.344765,1,0,0,0,0,0,0,0,1,0
P(=O)(OC(OC(=O)CC)C(C)C)(CCCc1ccccc1)CC(=O)N1[C@H](C(O)=O)C[C@@H](C2CCCCC2)C1,188733,CHEMBL115832,99.762749,1,0,0,0,0,0,0,0,0,0
S[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1C(C(O)=O)CCC1,24044,CHEMBL283741,90.257469,1,0,0,0,0,0,0,0,1,0
