smiles,ID,active_ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
S(=O)(=O)(Nc1c(O)cc(C(O)=O)cc1)c1c(C(O)=O)scc1,116,116,71.493423,1,1,0,1,0,0,1,1,1,1
S(=O)(=O)(Nc1ccc(C(O)=O)cc1)c1c(C(=O)[O-])scc1,113,113,79.309471,1,1,0,0,0,0,1,1,1,1
S(=O)(=O)(Nc1cc(C(O)=O)ccc1)c1c(C(=O)[O-])scc1,114,114,95.87426,1,1,0,1,0,1,1,1,1,1
Clc1c(C(O)=O)ccc(NS(=O)(=O)c2c(C(=O)[O-])scc2)c1,115,115,87.06395,1,1,0,1,0,0,1,1,1,1
OC(=O)[C@@H](Cc1cccc2ccccc12)N1C(=O)c2cc(C(O)=O)ccc2C1=O,211,211,99.463623,1,0,0,0,0,0,0,0,1,0
Clc1c(Cl)ccc(NS(=O)(=O)c2c(C(O)=O)scc2)c1,119,119,96.322487,1,1,0,0,0,1,1,1,1,1
S(=O)(=O)(Nc1c([N+](=O)[O-])cccc1)c1c(C(O)=O)scc1,118,118,50.621109,1,0,0,0,0,0,0,0,1,0
S(=O)(=O)(Nc1c(N2CCCCC2)cccc1)c1c(C(O)=O)scc1,104,104,97.749382,1,0,0,0,0,0,1,0,1,1
S(=O)(=O)(Nc1cc([N+](=O)[O-])ccc1)c1c(C(O)=O)scc1,117,117,93.822762,1,1,0,0,0,1,1,1,1,1
OC(=O)C[C@@H](Cc1cccc2ccccc12)N1C(=O)c2cc(C(O)=O)ccc2C1=O,208,208,99.060425,1,0,0,0,0,0,0,0,1,0
OC(=O)[C@@H](Cc1c[nH]c2ccccc12)N1C(=O)c2cc(C(O)=O)ccc2C1=O,210,210,99.458328,1,0,0,0,0,0,0,0,1,0
Clc1ccc(NS(=O)(=O)c2c(C(O)=O)scc2)cc1,106,106,96.714157,1,1,0,0,0,1,1,1,1,1
S(=O)(=O)(NCc1ccccc1)c1c(C(O)=O)scc1,111,111,94.891983,1,0,0,0,0,1,1,1,1,0
Brc1ccc(NS(=O)(=O)c2c(C(O)=O)scc2)cc1,112,112,97.057228,1,1,0,0,0,1,1,1,1,1
OC(=O)[C@@H](Cc1ccc(O)cc1)N1C(=O)c2cc(C(O)=O)ccc2C1=O,203,203,98.027191,1,0,0,0,0,0,0,0,0,0
OC(=O)c1ccc2C(=O)N([C@@H](Cc3[nH]nnc3)Cc3cccc4ccccc34)C(=O)c2c1,207,207,75.83654,1,0,0,0,0,1,0,0,0,0
Clc1ccc(NS(=O)(=O)c2c(C(O)=O)cccc2)cc1,109,109,96.59343,1,0,0,0,0,1,1,1,1,0
S(=O)(=O)(Nc1sc(C)c(C(O)=O)c1)c1ccc(C)cc1,107,107,81.985977,1,0,0,0,0,1,1,0,0,0
S(=O)(=O)(Nc1sccc1)c1c(C(O)=O)c(C)oc1C,105,105,82.090889,1,1,0,0,0,1,1,1,1,0
S(=O)(=O)(N)c1ccc(NS(=O)(=O)c2c(C(O)=O)scc2)cc1,103,103,94.115517,1,1,0,0,0,1,1,1,1,1
OC(=O)C(Cc1ccc(O)cc1)N1C(=O)c2cc(C(O)=O)ccc2C1=O,201,201,98.027191,1,0,0,0,0,0,0,0,1,0
Clc1c(Cl)ccc(NS(=O)(=O)c2c(C(OC)=O)scc2)c1,120,120,95.726715,1,0,0,0,0,1,0,0,0,0
OC(=O)C(Cc1ccccc1)N1C(=O)c2cc(C(O)=O)ccc2C1=O,202,202,99.461952,1,0,0,0,0,0,0,0,1,0
S(=O)(=O)(Nc1c(C(O)=O)scc1)c1cc([N+](=O)[O-])ccc1,121,121,76.631699,1,0,0,0,0,0,0,0,0,0
Clc1ccc(S(=O)(=O)Nc2c(C(O)=O)scc2)cc1,108,108,72.504967,1,0,0,0,0,0,0,0,0,0
S(O)(=O)(=O)CCCSc1sc2ccccc2n1,102,102,100,1,0,0,0,0,0,0,0,1,0
Clc1ccc(NC(=O)c2c(C(O)=O)cccc2)cc1,110,110,99.598602,1,1,0,0,0,1,0,0,1,0
OC(=O)c1ccc2C(=O)N(CCc3ccc(O)cc3)C(=O)c2c1,206,206,98.155289,1,0,0,0,0,0,0,0,0,0
S(CCC(O)=O)c1sc2ccccc2n1,101,101,99.174828,1,0,0,0,0,0,0,0,1,0
