smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
N(Cc1ccc(CNc2ncccc2)cc1)c1ncccc1,403120,CHEMBL237830,66.10981,1,0,0,0,1,0,0,0,0,0
C(N1CCNCCCNCCNCCC1)c1ccc(CN2CCNCCCNCCNCCC2)cc1,20346,CHEMBL18442,15.386195,1,1,0,0,1,1,1,1,1,0
C(N1CCNCCc2nc(CCNCC1)ccc2)c1ccc(CN2CCNCCc3nc(CCNCC2)ccc3)cc1,676182,CHEMBL1202231,64.487785,1,0,0,0,1,1,1,0,0,0
S(CC=1N2CC(C)(C)N=C2SC=1)/C(/NC1CCCCC1)=N\C1CCCCC1,454523,CHEMBL460491,93.734222,1,1,0,0,1,1,1,1,1,1
S(CC=1N2CC(C)(C)N=C2SC=1)/C(/NC1CCCCCC1)=N\C1CCCCCC1,454524,CHEMBL518501,93.745361,1,1,0,0,1,1,1,1,1,1
S(CC=1N2CCN=C2SC=1)/C(/NC1CCCCCC1)=N\C1CCCCCC1,454309,CHEMBL508054,88.020096,1,1,0,0,1,1,1,1,1,1
N(C)(C)CCCc1c(CN(C)[C@H]2CCCc3cccnc23)ncc2ccccc12,627834,CHEMBL1096504,62.831299,1,0,0,0,1,1,0,0,1,0
N(C)(Cc1n(C[C@@H]2CN(C(C)C)CCC2)c2ccccc2n1)[C@H]1CCCc2cccnc12,620980,CHEMBL1092637,49.254642,1,1,0,0,1,1,0,0,1,0
S(CC=1N2CCN=C2SC=1)/C(/NC1CCCCCCC1)=N\C1CCCCCCC1,454310,CHEMBL454896,88.023315,1,0,0,0,1,1,1,1,1,1
S(CC=1N2CCN=C2SC=1)/C(/NC1CCCCCC1)=N\C1CCCCC1,454311,CHEMBL541728,87.998611,1,1,0,0,1,1,1,1,1,1
OC[C@@H]1[C@@H]([N-][N+]#N)C[C@H](N2C(=O)NC(=O)C(C)=C2)O1,27307,CHEMBL129,99.89357,1,0,0,0,1,0,0,0,0,0
