smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
[Si](C)(C)(C)C#CC=1CCC(N(CCC)CCC)CC=1,273467,CHEMBL163087,99.984795,1,0,0,0,0,0,0,0,1,0
Clc1c(Cl)cccc1N1CCN(CCC2CCC(NC(=O)c3sccc3)CC2)CC1,126865,CHEMBL80919,99.255806,1,1,0,1,1,0,0,0,1,1
N(C1CCC(CCN2CCN(c3ccccc3)CC2)CC1)c1ncnc2ccccc12,274589,CHEMBL349426,66.354408,1,1,0,0,1,0,0,0,1,1
Oc1cccc2CC3N(CC=C)CCc4cccc(-c12)c34,154492,CHEMBL95075,91.453293,1,0,0,0,1,0,0,0,0,1
Brc1cc(C(=O)NC2CC3N(Cc4ccccc4)C(C2)CCC3)c(OC)c2ccccc12,80930,CHEMBL52588,99.906158,1,0,0,0,1,0,0,0,1,1
Ic1cc(OC)c(OC)c(C(=O)NC2CC3N(Cc4ccccc4)C(C2)CCC3)c1,80963,CHEMBL54866,99.905121,1,0,0,0,1,0,0,0,1,1
O=C(NCCCCN(CCC)[C@H]1CCc2nc(N)sc2C1)c1ccc2ccccc2c1,470092,CHEMBL492664,99.975182,1,0,0,1,1,0,1,0,1,1
Clc1c(Cl)cccc1N1CCN(CCN(CCC)C2CCc3nc(N)sc3C2)CC1,487274,CHEMBL468017,56.695995,1,1,0,1,1,1,1,0,1,1
Oc1cccc2CC(N(CCC)CCN3CCN(c4c(OC)cccc4)CC3)CCc12,418398,CHEMBL399164,56.967472,1,1,0,1,1,1,1,0,1,1
Nc1sc2CC(N(CCC)CCN3CCN(c4ccc(-c5ccccc5)cc4)CC3)CCc2n1,487543,CHEMBL467540,57.926319,1,1,0,1,1,1,1,0,0,1
Clc1c(Cl)cccc1N1CCN(CCCCNC(=O)c2ncc3ccccc3c2)CC1,495175,CHEMBL462508,99.114174,1,1,0,0,1,0,0,0,1,1
Clc1c(Cl)cccc1N1CCN(CCCCN2C(=O)c3n(CC2)c2ccccc2c3)CC1,494032,CHEMBL496531,99.133408,1,1,0,0,1,0,0,0,1,1
O=C(NCC1N(CCCC)CCC1)c1c(OC)c2ccccc2c(C#N)c1,34432,CHEMBL286252,99.860191,1,1,0,1,1,1,1,0,1,1
O(C)c1c(N2CCN(CCCCOc3ccc(C4N=C5SC=CN5C4)cc3)CC2)cccc1,515828,CHEMBL464395,87.871681,1,1,0,0,1,0,0,0,1,1
Clc1c(Cl)cccc1N1CCN(CCCCNC(=O)Cc2oc3cc(OC)ccc3c2)CC1,256108,CHEMBL152734,99.132401,1,1,0,1,1,0,0,0,1,1
Clc1c(Cl)cccc1N1CCN(CCCCNC(=O)c2oc3c(OC)cccc3c2)CC1,329441,CHEMBL196476,99.125816,1,1,0,1,1,0,1,0,1,1
Clc1c(Cl)cccc1N1CCN(CCCCNC(=O)c2sc3ccccc3c2)CC1,96693,CHEMBL59725,99.135841,1,1,0,0,1,0,1,0,1,1
Clc1c(Cl)cccc1N1CCN(CCCCNC(=O)Cc2sc3ccccc3c2)CC1,256570,CHEMBL348252,99.135353,1,1,0,1,1,0,1,0,1,1
O=C(NC1CCC(CCN2CCN(c3ccccc3)CC2)CC1)C1CCCCC1,126897,CHEMBL309623,99.369774,1,1,0,0,0,0,0,0,1,1
Clc1c(Cl)cccc1N1CCN(CCCCCOc2ncc3ccccc3c2)CC1,494225,CHEMBL495572,99.21965,1,1,0,0,1,0,0,0,1,1
Clc1c(NC)cc(OC)c(C(=O)N[C@@H]2[C@H](C)N(Cc3ccccc3)CC2)c1,124161,CHEMBL274491,99.059204,1,1,0,0,1,0,0,0,1,1
Ic1c(O)c(C(=O)NC[C@H]2N(CC)CCC2)c(OC)c(OC)c1,116874,CHEMBL308524,83.614571,1,1,0,1,1,1,1,0,1,1
O=C(NCCCCN1CCN(c2c(C)c(C)ccc2)CC1)c1cc(OC)ccc1,256669,CHEMBL433741,99.264626,1,1,0,1,1,0,1,0,1,1
Clc1c(N2CCN(CCCCNC(=O)c3[nH]c4ccccc4c3)CC2)ccc(Cl)c1,206454,CHEMBL339960,99.16214,1,1,0,1,1,1,1,0,1,1
Clc1c(Cl)cccc1N1CCN(CCCCNC(=O)c2[nH]nc3ccccc23)CC1,256571,CHEMBL152010,98.949051,1,1,0,1,1,1,1,0,1,1
Oc1cccc2C[C@@H](N(CCC)CCN3CCN(c4ccnc5ccccc45)CC3)CCc12,603357,CHEMBL602065,60.384758,1,1,0,0,1,0,0,0,1,1
O=C(NCCCCN1CCN(c2c(OC)cccc2)CC1)c1cc2CCc3ccc(CCc1cc2)cc3,349093,CHEMBL210567,99.176689,1,1,0,0,1,0,0,0,1,1
O[C@@]1(C(C)(C)C)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34,4259,CHEMBL8514,99.228111,1,0,0,0,1,0,0,0,0,1
Brc1cc(C(=O)N[C@@H]2CN(C3CCCCCC3)CC2)c(OC)c2ccccc12,81284,CHEMBL54667,99.719551,1,1,0,1,1,1,1,0,1,1
Clc1c(Cl)cccc1N1CCN(CCC2CCC(NS(=O)(=O)c3cnccc3)CC2)CC1,401468,CHEMBL240693,96.606544,1,1,0,0,1,0,0,0,1,1
Oc1cccc2CC(N(CCC)CCCCNC(=O)c3ccc(-c4ccccc4)cc3)CCc12,94234,CHEMBL58669,98.240303,1,0,0,0,1,0,0,0,1,1
Nc1sc2CC(NCCC)CCc2n1,117022,CHEMBL76399,99.947441,1,1,0,0,1,0,0,0,0,1
Fc1ccc(CN2C3CN(C(=O)c4c(OC)c(OC)ccc4)CC2CCC3)cc1,203130,CHEMBL421095,97.211075,1,0,0,0,1,0,0,0,1,1
O(C)c1c(N2CCN(Cc3cn(-c4ccccc4)nc3)CC2)cccc1,349190,CHEMBL379602,97.734993,1,1,0,0,1,0,0,0,1,1
O=C(NCCCCN(CCC)C1CCC(C#C)=CC1)c1ccc(-c2ccccc2)cc1,514266,CHEMBL484358,99.978493,1,0,0,0,1,0,0,0,1,1
Clc1c(NC)cc(OC)c(C(=O)N[C@@H]2CN(C3C4CCCC3CCC4)CC2)c1,152244,CHEMBL319597,99.690765,1,0,0,0,1,0,1,0,0,0
Brc1ccc2Sc3n(ccc3)C=C(N3CCN(C)CC3)c2c1,295697,CHEMBL369367,98.798668,1,0,0,0,0,0,0,0,0,1
Fc1ccc(C(=O)CCCN2CCC3(N(c4ccccc4)CNC3=O)CC2)cc1,4634,CHEMBL267930,99.544273,1,0,0,0,0,0,0,0,0,1
Fc1cccc2C[C@H](N(CCC)CCCCN3C(=O)CC4(CC3=O)CCCC4)CCc12,229525,CHEMBL138998,99.972282,1,0,0,0,0,0,0,0,1,1
FC(F)(F)c1cc(N2C(=O)N(CC3NCCCC3)CC2)ccc1,615540,CHEMBL1085903,99.722031,1,1,0,0,1,0,0,0,1,1
S(CCCN1C[C@@]2(c3ccc(C(F)(F)F)cc3)C[C@H]2C1)c1n(C)c(-c2c(C)nc(C)s2)nn1,610218,CHEMBL1081746,99.708473,1,1,0,0,1,0,0,0,1,1
S(CCCN1CC2(c3cc(C(F)(F)F)c(F)cc3)CC2C1)c1n(C)c(-c2c(C)nco2)nn1,611249,CHEMBL1081587,99.732346,1,1,0,0,1,0,0,0,1,1
Clc1c(Cl)cccc1N1CCN(CC(O)NC(=O)c2[nH]c3ccccc3c2)CC1,499097,CHEMBL489619,60.115643,1,0,0,1,1,1,1,0,1,1
Clc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,3859,CHEMBL54,99.733459,1,1,0,1,1,0,1,0,1,1
S(=O)(=O)(N)c1c(OC)ccc(C[C@H](NCCOc2c(OCC)cccc2)C)c1,61181,CHEMBL836,99.084724,1,1,0,0,1,0,0,0,1,1
Clc1c(N2CCN(CCCCNC(=O)c3ccc(-c4ccccc4)cc3)CC2)cccc1,366929,CHEMBL374749,99.17643,1,1,0,0,0,0,0,0,0,1
Clc1c(Cl)cccc1N1CCN(C/C=C/CNC(=O)c2ccc(-c3[nH]ccn3)cc2)CC1,297496,CHEMBL179351,91.794174,1,1,0,0,1,0,0,0,0,1
O=C(NCCCCN1CCN(c2c(OC)cccc2)CC1)c1ccc-2c(Cc3ccccc-23)c1,331559,CHEMBL110365,99.176872,1,1,0,0,1,0,0,0,1,1
O=C(NCCCCN1CCC(N(Cc2ccccc2)c2ccccc2)CC1)c1ccc2ccccc2c1,405544,CHEMBL239923,99.925392,1,0,0,0,1,0,0,0,1,1
Oc1cccc2CC(N(CCC)CCC)COc12,58913,CHEMBL38428,95.640312,1,0,0,0,1,0,0,0,0,1
O=C(NCCCCN1CCN(c2c(OC)cccc2)CC1)/C=C/c1ccccc1,210469,CHEMBL126128,99.179512,1,1,0,1,1,0,1,0,1,1
O=C1N(CCCCN2CCN(c3nsc4ccccc34)CC2)C(=O)CC2(C1)CCCC2,678140,CHEMBL1204189,77.520996,1,0,0,0,1,0,0,1,1,1
Clc1c(Cl)ccc(C2(O)CC3N(Cc4coc5ccccc45)C(C2)CC3)c1,470533,CHEMBL523328,99.638283,1,1,0,1,1,0,1,1,1,1
Oc1ccc2CCC(N(CCCCN3CCN(c4ccccc4)CC3)CC#C)Cc2c1,261137,CHEMBL157293,94.168877,1,1,0,1,1,0,1,0,1,1
S(C)c1c(N2CCN(CCCCNC(=O)c3nn4C=CC=Cc4c3)CC2)cccc1,561544,CHEMBL550222,99.261383,1,0,0,0,1,0,0,0,1,1
Nc1cc(C#CCCN2CCC(c3ccccc3)=CC2)ccc1,178040,CHEMBL108532,98.94001,1,1,0,0,0,0,0,0,0,0
Fc1nc(-c2ccc(C(=O)NCCCCN3CCN(c4c(OC)cccc4)CC3)cc2)ccc1,367112,CHEMBL221652,99.176208,1,1,0,0,1,0,0,0,1,1
Fc1ccc(C(CCCN2CCC(N3C(=O)Nc4ccccc34)CC2)c2ccc(F)cc2)cc1,364141,CHEMBL1423,99.853348,1,0,0,0,0,0,1,0,0,0
Clc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1,96947,CHEMBL64249,59.584015,1,0,0,0,1,0,0,0,0,1
O=C(NC1CCC(CCN(CCC)[C@H]2CCc3nc(N)sc3C2)CC1)c1ccc2ccccc2c1,470166,CHEMBL495327,99.978622,1,1,0,0,1,0,0,0,1,1
Clc1c(Cl)cccc1N1CCN(C/C=C/CNC(=O)c2ccc(O)cc2)CC1,322247,CHEMBL195057,81.447899,1,1,0,0,1,0,0,0,1,1
Oc1ccc2[nH]cc(CCCCN3CCC(c4ccccc4)=CC3)c2c1,111270,CHEMBL431367,99.731575,1,1,0,1,1,0,1,0,1,1
O=C(NC1CCC(CCN(CCC)[C@H]2CCc3nc(N)sc3C2)CC1)/C=C/c1ccccc1,470246,CHEMBL492883,99.97863,1,1,0,0,1,0,0,0,1,1
Oc1ccc2CCC(N(CCC)CCN3CCN(c4cccc5ccccc45)CC3)Cc2c1,579961,CHEMBL569747,54.79015,1,1,0,1,1,1,1,0,1,1
Clc1c(Cl)cccc1N1CCN(/C=C/NC(=O)c2[nH]c3ccccc3c2)CC1,499671,CHEMBL489839,100,1,0,0,1,1,0,0,0,0,0
Oc1ccc2CCC(N(CCC)CCN3CCN(c4nccc5ccccc45)CC3)Cc2c1,579914,CHEMBL569322,69.611435,1,1,0,0,1,0,0,1,1,1
Brc1cc(OC)c(OC)c(C(=O)NC2CCN(Cc3ccc(F)cc3)CC2)c1,203046,CHEMBL124612,99.441849,1,0,0,0,0,0,0,0,1,1
Fc1ncc(-c2ccc(C(=O)NCCCCN3CCN(c4c(OC)cccc4)CC3)cc2)cc1,367119,CHEMBL221640,99.176849,1,1,0,0,1,0,0,0,1,1
S(CCCN1CCc2cc(-c3n(C)nc(C)c3)ccc2CC1)c1n(C)c(-c2cccc3nc(C)ccc23)nn1,390008,CHEMBL244946,98.785622,1,0,0,0,1,0,0,0,0,1
Nc1sc2C[C@@H](N(CCC)CCN3CCN(c4ccnc5ccccc45)CC3)CCc2n1,579828,CHEMBL577073,58.638359,1,1,0,0,1,0,0,0,1,1
S(=O)(=O)(NC1CCC(CCN2CCC(Cc3cc(C(F)(F)F)ccc3)CC2)CC1)c1ccc(-n2nccc2)cc1,401459,CHEMBL240271,97.041161,1,0,0,0,0,0,0,0,0,1
Brc1cc(OC)c(N2CCN(CCC3CCC(NS(=O)(=O)c4ccc(OC)cc4)CC3)CC2)cc1,401451,CHEMBL239847,96.372559,1,0,0,0,1,0,0,0,1,1
O=C(NCCCCN1CCN(c2c(OC)cccc2)CC1)/C=C/c1cnccc1,209640,CHEMBL341542,98.768051,1,1,0,1,1,0,1,0,1,1
S(CCCN1C[C@@]2(c3ccc(C(F)(F)F)cc3)C[C@H]2C1)c1n(C)c(-c2c(C)cco2)nn1,610216,CHEMBL1079639,99.745705,1,1,0,0,1,0,0,0,1,1
O=C(NC1CCC(CCN(CCC)[C@H]2CCc3nc(N)sc3C2)CC1)c1oc2ccccc2c1,470245,CHEMBL494511,99.978577,1,1,0,0,1,0,0,0,1,1
