wash.smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
O=C(C(=O)c1cc(OC)c(OC)c(OC)c1)N1C2C(=O)OCCCCOC(=O)C1CCC2,209130,CHEMBL127368,100,1,0,0,1,0,1,0,0,1,0
O=C(C(C)(C)CC)C(=O)N1[C@H](C(=O)NCCCc2ccccc2)CCC1,46762,CHEMBL33094,100,1,0,0,1,0,1,1,1,1,1
O(CCCc1ccccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)C)CCCC1,77646,CHEMBL50795,100,1,0,0,1,0,1,0,0,1,1
O(C(CCCc1ccccc1)CCc1cnccc1)C(=O)C1N(C(=O)C(=O)c2cc(OC)c(OC)c(OC)c2)CCCC1,247317,CHEMBL150120,99.324043,1,0,0,1,0,1,0,0,1,0
O(C(CCCc1ccccc1)CCCc1ccccc1)C(=O)C1N(C(=O)C(=O)c2ccccc2)CCCC1,77454,CHEMBL300752,100,1,1,0,1,0,0,0,0,1,0
O(CCCc1cnccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)C)CCC1,246629,CHEMBL423033,99.325829,1,0,0,1,0,1,0,0,1,1
O(C(CCCc1ccccc1)CCCc1ccccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)C)CCCC1,77571,CHEMBL417192,100,1,0,0,1,0,0,0,0,1,0
S(CCCc1ccc2ccccc2c1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)CCC1,195341,CHEMBL118937,100,1,0,0,0,1,1,0,0,1,1
S(CCC(c1ccccc1)c1ccccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)CCC1,195340,CHEMBL118884,100,1,0,0,0,0,1,0,0,1,1
O(CCC(c1ccccc1)c1ccccc1)C(=O)C1N(C(=O)C(=O)C(C)(C)CC)CCCC1,77455,CHEMBL300040,100,1,0,0,1,0,1,0,0,1,1
S(CCCc1cnccc1)C(=O)[C@H]1N(C(=O)C(=O)C(C)(C)CC)CCC1,196043,CHEMBL118858,99.29467,1,0,0,1,0,1,0,0,1,1
