smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
O[C@H]1[C@@H](OC)C[C@H](C)Cc2c(O)ccc(NC(=O)/C(/C)=C/CC[C@H](OC)[C@@H](OC(=O)N)/C(/C)=C/[C@@H]1C)c2,517639,CHEMBL512489,99.336678,1,0,0,0,0,0,0,0,1,0
Clc1nc(N)nc2n(Cc3c(C)c(OC)c(C)cn3)cnc12,495617,CHEMBL467399,87.574425,1,1,0,1,0,1,1,1,1,0
O[C@H]1[C@@H](OC)C[C@H](C)Cc2c(O)ccc(NC(=O)/C(/C)=C/C=C\[C@H](OC)[C@@H](OC(=O)N)/C(/C)=C/[C@@H]1C)c2,517866,CHEMBL511439,99.325813,1,0,0,0,0,0,0,0,1,0
Clc1c(O)cc(O)c2C(=O)O[C@H](C)C[C@@H]3O[C@@H]3/C=C\C=C\C(=O)Cc12,456075,CHEMBL453386,76.23394,1,0,0,0,0,0,0,0,1,0
O[C@H]1[C@@H](OC)C[C@H](C)CC=2C(=O)C(NC(=O)/C(/C)=C/C=C\[C@H](OC)[C@@H](OC(=O)N)/C(/C)=C/[C@@H]1C)=CC(=O)C=2NCC=C,183934,CHEMBL109480,99.880409,1,0,0,0,0,0,0,0,1,0
O[C@H]1[C@@H](OC)C[C@H](C)Cc2cccc(NC(=O)/C(/C)=C/CC[C@H](OC)[C@@H](OC(=O)N)/C(/C)=C/[C@@H]1C)c2,517638,CHEMBL469932,100,1,0,0,0,0,0,0,0,1,0
O[C@H]1[C@@H](OC)C[C@H](C)CC=2C(=O)C(NC(=O)/C(/C)=C/C=C\[C@H](OC)[C@@H](OC(=O)N)/C(/C)=C/[C@@H]1C)=CC(=O)C=2N,206555,CHEMBL339231,100,1,0,0,0,0,0,0,0,1,0
Clc1c(O)cc(O)c(-c2c(-c3ccc(OCC)cc3)snn2)c1,518364,CHEMBL517583,57.466145,1,0,0,1,0,0,0,1,1,0
Oc1c(C(C)C)cc(-c2c(c(C(=O)NCC)no2)-c2ccc(CN3CCOCC3)cc2)c(O)c1,419032,CHEMBL252164,65.645988,1,0,0,0,0,0,0,1,1,0
O[C@H]1[C@@H](OC)C[C@H](C)Cc2c(N)c(O)cc(c2O)NC(=O)/C(/C)=C/C=C\[C@H](OC)[C@@H](OC(=O)N)/C(/C)=C/[C@@H]1C,353745,CHEMBL209356,98.411461,1,0,0,0,0,0,0,0,1,0
Clc1c(O)cc(O)c(-c2c(-c3ccc(OC)cc3)snn2)c1,518363,CHEMBL454733,57.468822,1,0,0,1,0,0,0,1,1,0
O[C@H]1[C@@H](OC)C[C@H](C)Cc2c(NCC=C)c(O)cc(c2O)NC(=O)/C(/C)=C/C=C\[C@H](OC)[C@@H](OC(=O)N)/C(/C)=C/[C@@H]1C,353628,CHEMBL377559,98.389542,1,0,0,0,0,0,0,0,1,0
Clc1c(O)cc(O)c(-c2c(-c3ccc(C)cc3)snn2)c1,518365,CHEMBL457042,59.406479,1,0,0,1,0,0,0,1,1,0
O[C@H]1[C@@H](OC)C[C@@H](C)CC=2C(=O)C(NC(=O)/C(/C)=C\C=C\[C@@H](OC)[C@H](OC(=O)N)/C(/C)=C/[C@@H]1C)=CC(=O)C=2NCC=C,356027,CHEMBL378352,99.880409,1,0,0,0,0,0,0,0,1,0
Brc1c(Sc2n(CCCC#C)c3ncnc(N)c3n2)cc2OCOc2c1,321074,CHEMBL365159,90.583275,1,0,0,0,0,0,0,0,1,0
O[C@H]1[C@@H](OC)C[C@H](C)CC=2C(=O)C(NC(=O)/C(/C)=C/C=C\[C@H](OC)[C@@H](OC(=O)N)/C(/C)=C/[C@@H]1C)=CC(=O)C=2OC,25906,CHEMBL278315,100,1,0,0,0,0,0,0,0,1,0
Clc1c(O)cc(O)c(-c2c(c(C(=O)NCC)[nH]n2)-c2ccc(OC)cc2)c1,317497,CHEMBL365617,52.5126,1,0,0,1,0,0,0,1,1,0
Brc1cncc2nc(Sc3n(CCP(=O)(OCC)OCC)c4ncnc(N)c4n3)sc12,355762,CHEMBL212133,92.048996,1,1,0,0,0,0,1,0,0,0
Ic1c(Sc2n(CCCC#C)c3ncnc(N)c3n2)cc(OC)cc1,321070,CHEMBL191635,90.486504,1,1,0,0,0,0,1,0,1,0
Clc1cncc2nc(Sc3n(CCP(=O)(OCC)OCC)c4ncnc(N)c4n3)sc12,355798,CHEMBL212850,92.061203,1,1,0,0,0,0,1,0,0,0
Clc1cccc2nc(Sc3n(CCP(=O)(OCC)OCC)c4ncnc(N)c4n3)sc12,355724,CHEMBL377371,92.052345,1,1,0,0,0,0,1,1,1,0
Clc1c(O)cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)c1,419311,CHEMBL404630,51.891396,1,1,0,1,0,0,0,1,1,0
Clc1c(O)cc(O)c(-c2c(-c3cc(OC)c(OC)cc3)snn2)c1,518366,CHEMBL515048,57.380589,1,0,0,1,0,0,0,1,1,0
Clc1cccc2nc(Sc3n(CCNCC(C)(C)C)c4ncnc(N)c4n3)sc12,355987,CHEMBL215657,90.720863,1,1,0,0,0,0,1,1,0,0
Clc1c(O)cc(O)c(-c2c(c(C(=O)NC)[nH]n2)-c2ccc(OC)cc2)c1,316850,CHEMBL424811,52.515057,1,0,0,1,0,0,0,1,1,0
Brc1c(O)cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)c1,419309,CHEMBL254875,53.483532,1,1,0,1,0,0,0,1,1,0
Oc1c(CC)cc(-c2c(-c3ccc(OCC)cc3)snn2)c(O)c1,518457,CHEMBL514748,81.221947,1,0,0,1,0,0,0,1,1,0
Clc1c(O)c2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)/[C@H](OC(=O)N)[C@@H](OC)CC/C=C(\C)/C(=O)Nc(c1)c2,517636,CHEMBL511618,86.966286,1,0,0,0,0,0,0,0,1,0
Clc1c(O)cc(O)c(-c2c(c(C(=O)N)[nH]n2)-c2ccc(OC)cc2)c1,317061,CHEMBL366215,52.546429,1,0,0,1,0,0,0,1,1,0
