smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
Oc1ccc(C2C(=O)Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,574076,CHEMBL584052,,1,0,1,0,0,0,1,1,1,0
Fc1ccc([C@H](Nc2ncnc(-c3c(N)nn4C=CC=Nc34)c2)C)cc1,579275,CHEMBL583895,,1,0,1,0,0,0,1,1,1,0
Clc1c(-c2[nH]c3c(n2)c2ccc(F)cc2c2C(=O)NC=Cc32)c(F)ccc1,442171,CHEMBL272424,,1,0,1,0,1,0,1,1,1,0
Fc1c(O)ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c1,590373,CHEMBL591096,,1,1,1,0,0,1,1,1,1,1
Clc1c(C2=Nc3ccccc3-c3ncnc4[nH]cc2c34)ccc(O)c1,590605,CHEMBL603048,,1,1,1,0,0,1,1,1,1,0
Fc1ccc2c3nc(C(C)(C)C)[nH]c3c3C=CNC(=O)c3c2c1,24580,CHEMBL21156,,1,0,1,0,1,0,1,1,1,0
O=C(NC1CC1)Nc1c(-c2[nH]c3ccc(CN4CCOCC4)cc3n2)n[nH]c1,494066,CHEMBL495727,,1,0,0,0,1,0,0,1,0,0
Fc1c(C2Nc3ccccc3-c3ncnc4[nH]cc2c34)ccc(O)c1,590559,CHEMBL604038,,1,0,1,0,0,1,1,1,1,1
O=C(CC#N)N1C[C@H](N(C)c2ncnc3[nH]ccc23)[C@H](C)CC1,367860,CHEMBL221959,,1,1,1,0,1,0,0,1,0,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)ncc2)cc1)C,617418,CHEMBL1078889,,1,0,0,0,0,0,0,0,0,0
Fc1cnc([C@@H](Nc2c(C#N)ncc(Nc3n[nH]c(C)c3)n2)C)nc1,579280,CHEMBL570002,,1,0,1,0,0,1,1,1,0,0
Fc1cnc(C(Nc2c(C#N)ncc(Nc3n[nH]c(C)c3)n2)C)cc1,579301,CHEMBL568788,,1,0,1,0,0,1,1,1,0,0
Fc1cnc([C@@H](Nc2c(C#N)ncc(Nc3n[nH]c(C4CC4)c3)n2)C)cc1,579244,CHEMBL578194,,1,0,1,0,1,1,1,1,0,0
Fc1c(C(=O)N2CCOCC2)ccc(-c2cccc3nc(Nc4cc(OC)c(OC)c(OC)c4)oc23)c1,613513,CHEMBL1081484,,1,1,1,0,0,1,1,1,0,0
Fc1cnc([C@@H](Nc2nc(OC)cc(Nc3sc(C)cn3)n2)C)nc1,613813,CHEMBL1088029,,1,0,0,0,0,1,1,1,0,0
Fc1cnc([C@@H](Nc2nc(Nc3sc(C)cn3)cc(N3CCOCC3)n2)C)nc1,613814,CHEMBL1088030,,1,0,0,0,0,0,0,0,0,0
Fc1cnc([C@@H](Nc2nc(Nc3sc(C)cn3)cc(N3CCN(C)CC3)n2)C)cc1,613878,CHEMBL1087268,,1,0,0,0,0,0,0,0,0,0
Fc1cnc([C@@H](Nc2nc(Nc3sc(C#N)cn3)cc(N3CCOCC3)n2)C)cc1,613880,CHEMBL1087398,,1,0,0,0,0,0,0,0,0,0
Oc1c(OC)cc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2)cc1,617202,CHEMBL1078274,,1,0,1,1,1,1,0,1,0,0
FC(F)(F)CN(CCC)C(=O)C1CN(c2ncnc(-c3c(N)nn4C=CC=Nc34)c2)CCC1,579306,CHEMBL569957,,1,0,1,0,0,0,1,1,0,0
Fc1c(CN2CCOCC2)c(F)cc(-c2cccc3ncc(-c4cc(C)c(C(=O)N5CCOCC5)cc4)nc23)c1,621964,CHEMBL1093119,,1,1,1,0,0,1,1,1,0,0
Fc1ccc(C2N(c3ncnc(-c4c(N)nn5C=CC=Nc45)c3)CCC2)cc1,579307,CHEMBL582808,,1,0,1,0,0,0,1,1,0,0
Fc1cnc([C@@H](Oc2c(C#N)nc(C)c(Nc3n[nH]c(C)c3)n2)C)cc1,579382,CHEMBL570192,,1,0,1,0,1,1,0,1,0,0
Fc1cnc([C@@H](Nc2nc(Nc3sc(C)cn3)cnc2)C)nc1,613812,CHEMBL1087898,,1,0,1,0,0,1,1,1,0,0
N([C@@H](C)c1ccccc1)c1nc(-n2cnc3ccncc23)ncc1,367884,CHEMBL221029,,1,1,1,0,0,1,1,1,0,0
Fc1c(CN2CCOCC2)c(F)cc(-c2cccc3ncc(-c4ccc(N5CCN(C)CC5)cc4)nc23)c1,621965,CHEMBL1089773,,1,1,1,0,0,1,1,1,0,0
O(C)[C@@H]1[C@H](NC)CC2O[C@]1(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1C(=O)NCc31,86358,CHEMBL162,,1,0,0,0,0,0,0,1,0,0
Fc1ccc(-c2sc(NC(=O)N)c(C(=O)N)c2)cc1,425081,CHEMBL257167,,1,0,0,0,0,0,0,1,1,0
S(=O)(=O)(Nc1ccc(-c2cccc3nc(Nc4cc(OC)c(OC)c(OC)c4)oc23)cc1)C,613447,CHEMBL1081977,,1,1,1,0,0,1,1,1,0,0
Fc1c(CN2CCOCC2)c(F)cc(-c2cccc3nc(Nc4cc(C)c(C(=O)N(C)C)cc4)oc23)c1,613579,CHEMBL1080159,,1,1,1,0,0,1,1,1,0,0
Fc1cccc2[C@H](N3C(=O)Nc4cnc(-n5cnc6ccc(C#N)cc56)nc34)CCOc12,611732,CHEMBL1079594,,1,1,1,0,0,1,1,1,0,0
O=C(Cc1ccc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc23)cc1)N1CCS(=O)(=O)CC1,621617,CHEMBL1093468,,1,0,1,0,0,0,1,1,0,0
O(C)c1c(OC)cc(Nc2ncc3ccn(-c4ncccc4)c3n2)cc1OC,345093,CHEMBL205098,,1,0,1,0,0,1,1,0,0,0
O(NC(=O)c1n(C)c2nc(-n3cnc4ccncc34)nc(N[C@@H](C)c3ccccc3)c2c1)C,396940,CHEMBL391492,,1,1,1,0,0,0,1,1,0,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3cc(CN4CCCC4)ccc3)ncc2)cc1)C,617203,CHEMBL1078275,,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3ccc(N4CCC(O)CC4)cc3)ncc2)cc1)C,617420,CHEMBL1079078,,1,0,1,1,0,1,0,1,0,0
Fc1c(CN2CCS(=O)(=O)CC2)c(F)cc(-c2cccc3ncc(-c4cnc(N5CCN(C)CC5)cc4)nc23)c1,620819,CHEMBL1092925,,1,1,1,0,0,1,1,1,0,0
O=C(N1CCN(C)CC1)c1c(C)cc(-c2nc3c(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)cccc3nc2)cc1,621886,CHEMBL1092063,,1,1,1,0,0,1,1,1,0,0
Fc1c(CN2CCOCC2)c(F)cc(-c2cccc3ncc(-c4cn(C5CCNCC5)nc4)nc23)c1,620820,CHEMBL1092926,,1,1,1,0,0,1,1,1,0,0
Fc1ccc(COc2ncnc(-c3c(N)nn4C=CC=Nc34)c2)cc1,579384,CHEMBL568815,,1,0,1,0,0,0,1,1,0,0
O(C)c1c(OC)cc(Nc2oc3c(-c4ccc5ncccc5c4)cccc3n2)cc1OC,613445,CHEMBL1081975,,1,1,1,0,0,1,1,1,0,0
O=C(N1CCOCC1)c1c(C)cc(-c2cccc3nc(Nc4ccc(N5CCN(C)CC5)cc4)oc23)cc1,613581,CHEMBL1082023,,1,1,1,0,0,1,1,1,0,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3cc(CN4CCOCC4)ccc3)ncc2)cc1)C,617205,CHEMBL1078277,,1,0,0,1,0,0,0,0,0,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3ccc(CN4CCOCC4)cc3)ncc2)cc1)C,617347,CHEMBL1078689,,1,0,0,0,0,0,0,0,0,0
O=C(N1CCN(C)CC1)c1n(C)c2nc(-n3cnc4ccncc34)nc(N[C@@H](C)c3ccccc3)c2c1,396934,CHEMBL233151,,1,1,1,0,0,0,1,1,0,0
Nc1c(-c2ncnc(N[C@@H]3CCc4ccccc34)c2)c2n(n1)C=CC=N2,579282,CHEMBL570229,,1,0,1,0,0,0,1,1,1,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3ccc(CN4CCCCC4)cc3)ncc2)cc1)C,617204,CHEMBL1078276,,1,0,0,0,0,0,0,0,0,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3cc(CN4CCC(O)CC4)ccc3)ncc2)cc1)C,617346,CHEMBL1078688,,1,0,1,1,0,1,0,1,0,0
O(C)c1c(OC)ccc(-c2nc(-n3cnc4ccncc34)nc(N[C@@H](C)c3ccccc3)c2)c1,367928,CHEMBL220483,,1,1,1,0,0,0,1,1,0,0
O=C(Cc1ccc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc23)cc1)N1CCOCC1,621616,CHEMBL1093191,,1,0,1,0,0,0,1,1,0,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3cc(CN4CCN(C)CC4)ccc3)ncc2)cc1)C,617349,CHEMBL1078866,,1,0,0,0,0,0,0,0,0,0
O=S1(=O)CCN(Cc2ccc(-c3cccc4ncc(-c5cc(OC)c(OC)c(OC)c5)nc34)cc2)CC1,621618,CHEMBL1089833,,1,0,1,0,0,0,1,1,0,0
N([C@@H](C)c1ccccc1)c1nc(-n2cnc3ccncc23)nc(-c2cocc2)c1,367886,CHEMBL222027,,1,1,1,0,0,1,1,1,0,0
Clc1c(Oc2nc(-n3cnc4ccncc34)nc(N3CCN(C)CC3)c2)cccc1,367831,CHEMBL218439,,1,0,1,0,0,0,1,1,0,0
S(=O)(=O)(Nc1ccc(-c2nc(Nc3ccc(CN4CCN(C)CC4)cc3)ncc2)cc1)C,617417,CHEMBL1078971,,1,0,0,0,0,0,0,0,0,0
N([C@@H](C)c1ccccc1)c1nc(-n2cnc3ccncc23)nc(N2CCN(C)CC2)c1,367830,CHEMBL375296,,1,1,1,0,0,0,1,1,0,0
Nc1c(-c2ncnc(NC(C)C)c2)c2n(n1)C=CC=N2,579371,CHEMBL568790,,1,0,1,0,0,0,1,1,1,0
O=C(N1CCOCC1)c1c(C)cc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc23)cc1,621814,CHEMBL1088856,,1,0,1,0,0,1,1,1,0,0
Fc1c(CN2CCOCC2)ccc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc23)c1,621815,CHEMBL1088857,,1,0,1,0,0,0,1,1,0,0
