smiles,active_ID,ID,%C,real_activity,U5,U4,U1,U3,U2,autoph4,dbautoph4,elucidator,reversefp
Clc1ccc(-c2ccc(OCC(CCN3C(=O)c4ccccc4N=N3)C(=O)NO)cc2)cc1,165760,CHEMBL317132,56.799107,1,1,0,1,1,0,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C(C)(C)SCC1)c1ccc(Oc2ccncc2)cc1,120195,CHEMBL75094,50.884808,1,0,0,1,1,1,1,1,1,0
O(c1ncc(N2C3(C(=O)NC(=O)NC3=O)CCC2)cc1)c1ccc(-c2occ(-c3ccc(C#N)cc3)n2)cc1,417732,CHEMBL250776,99.927498,1,0,0,0,0,0,0,1,0,0
Fc1ccc2nc(-c3ccc(Oc4ncc(N5C6(C(=O)NC(=O)NC6=O)CCC5)cc4)cc3)[nH]c2c1,417765,CHEMBL250758,44.532017,1,0,0,0,0,0,0,1,0,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C/C(=N/OCC(C)C)/C1)c1ccc(OCCCC)cc1,251837,CHEMBL357934,54.94117,1,0,0,1,1,0,0,0,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C/C(=N/OCc2ccccc2)/C1)c1ccc(OCCCC)cc1,251846,CHEMBL440178,54.972382,1,0,0,1,1,0,0,0,1,0
S(=O)(=O)(CC1(C(=O)NO)N(CC#C)CCC1)c1ccc(Oc2ccccc2)cc1,148897,CHEMBL92899,50.781147,1,1,0,1,1,0,1,1,1,0
ONC(=O)[C@@H](CCCc1ccccc1)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(NC(N)=N)cc1)C(=O)NC,456620,CHEMBL516206,60.241707,1,0,0,1,0,0,0,0,0,0
OC(=O)c1ccc(CN2C(=O)c3cc(C#CCc4ccc(OC)cc4)ccc3N=C2)cc1,440034,CHEMBL410029,98.497475,1,0,0,0,0,0,0,0,0,0
OC(=O)C1CCC(Cn2nc(-c3cc(C)nc(C(=O)NCc4cc(OC)ccc4)c3)nn2)CC1,591505,CHEMBL596273,98.786278,1,0,0,0,0,0,0,0,1,1
OC(=O)c1ccc(Cn2nc(-c3cc(C)nc(C(=O)NCc4cc(OC)ccc4)c3)nn2)cc1,591461,CHEMBL605742,99.129234,1,0,0,0,0,0,0,1,1,1
S(=O)(=O)(N[C@@H](C(O)=O)C1CCN(C(OC(C)C)=O)CC1)c1sc(-c2ccc(OCC)cc2)cc1,479518,CHEMBL466059,77.882576,1,0,0,0,0,0,0,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C(C)(C)SCCC1)c1sc(-c2ncccc2)cc1,233460,CHEMBL344633,51.930222,1,1,1,1,1,1,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C(C)(C)SCCOCC1)c1ccc(OC)cc1,233413,CHEMBL342172,52.946014,1,0,0,1,0,0,0,0,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C/C(=N/OC)/C1)c1ccc(Oc2ccncc2)cc1,251607,CHEMBL150483,53.103157,1,1,0,1,1,0,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C/C(=N/OC(C)(C)C)/C1)c1ccc(Oc2ccc(F)cc2)cc1,251838,CHEMBL346442,54.94244,1,0,0,1,1,0,1,1,1,0
S(=O)(=O)(CC(N)(C)C(=O)NO)c1ccc(Oc2ccccc2)cc1,149049,CHEMBL91434,53.090736,1,1,0,1,1,0,1,1,1,0
Clc1ccc(Oc2ccc(S(=O)(=O)CC3(C(=O)NO)CCOCC3)cc2)cc1,126117,CHEMBL440498,53.8097,1,1,0,1,1,1,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C[C@H](N2C(=O)N(C)CC2=O)C1)c1ccc(OCCCC)cc1,243254,CHEMBL342102,54.40881,1,0,0,0,1,0,0,0,1,0
S(=O)(=O)(CC(NCc1ccccc1)(C)C(=O)NO)c1ccc(Oc2ccccc2)cc1,149047,CHEMBL91124,51.980835,1,1,0,1,1,0,1,1,1,0
S(=O)(=O)(N[C@@H](C(O)=O)C1CCN(C(OC(C)(C)C)=O)CC1)c1ccc(-c2ccc(N(C)C)cc2)cc1,479297,CHEMBL512081,77.144402,1,0,0,0,0,0,0,0,0,0
O(c1ccc(Oc2ccccc2)cc1)c1ccc(N2C(=O)CCC32C(=O)NC(=O)NC3=O)cc1,300772,CHEMBL178163,99.98494,1,0,0,0,0,0,0,0,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)CC(=O)N(C(C)(C)C)C1)c1ccc(OC)cc1,1484,CHEMBL7108,56.944038,1,0,0,0,1,0,0,0,1,0
O(CC)CCC1(Oc2ccc(Oc3ccc(-c4occ(-c5cnccc5)n4)cc3)cc2)C(=O)NC(=O)NC1=O,368780,CHEMBL221480,99.490654,1,0,0,0,0,0,1,1,0,0
Clc1ccc(Oc2ccc(S(=O)(=O)NC3(C(=O)NO)CCOCC3)cc2)cc1,187599,CHEMBL321257,47.261906,1,0,0,1,1,0,1,1,1,0
Fc1cc(-c2nc(-c3ccc(Oc4ccc(OC5(CCOCC)C(=O)NC(=O)NC5=O)cc4)cc3)oc2)ccc1,368709,CHEMBL220904,99.962944,1,0,0,0,0,0,1,1,0,0
Clc1ccc(Oc2ccc(S(=O)(=O)N[C@@]3(C(=O)NO)COCC3)cc2)cc1,187953,CHEMBL326369,46.477551,1,0,0,1,0,0,1,1,1,0
S(=O)(=O)([C@H]1[C@@](O)(C(=O)NO)COCC1)c1ccc(-c2ccc(C)cc2)cc1,308249,CHEMBL445140,62.198196,1,1,0,1,1,0,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C(C)(C)S(=O)(=O)CCC1)c1ccc(OCCCC)cc1,233339,CHEMBL436205,59.092617,1,0,0,1,0,0,0,0,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C(C)(C)SCCC1)c1ccc(Oc2ccccc2)cc1,233169,CHEMBL140569,52.452248,1,0,0,1,1,1,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C(C)(C)SCCC1)c1ccc(Oc2ccncc2)cc1,233412,CHEMBL140004,50.676189,1,0,0,1,1,1,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C/C(=N/Oc2ccccc2)/C1)c1ccc(Oc2ccncc2)cc1,251881,CHEMBL150027,53.326786,1,1,0,1,1,0,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)CC(NOC)C1)c1ccc(Oc2ccccc2)cc1,251938,CHEMBL151235,52.094318,1,0,1,1,1,1,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)CC(=C)C1)c1ccc(Oc2ccccc2)cc1,251681,CHEMBL356011,53.095371,1,1,0,1,1,0,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C[C@H](N2CCCCC2)C1)c1ccc(Oc2ccccc2)cc1,242861,CHEMBL343653,54.63414,1,0,0,0,1,1,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C[C@H](N2CCCC2)C1)c1ccc(Oc2ccc(F)cc2)cc1,243058,CHEMBL144313,54.501476,1,0,0,0,0,0,0,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C[C@H](N2CCCCC2)C1)c1ccc(OCCC)cc1,243447,CHEMBL358061,54.619415,1,0,0,1,1,0,0,0,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C[C@H](N2CCOCC2)C1)c1ccc(Oc2ccccc2)cc1,242574,CHEMBL421766,32.542755,1,0,0,0,1,1,1,1,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C[C@H](N2S(=O)(=O)CCC2)C1)c1ccc(OCCCC)cc1,243381,CHEMBL145641,53.887203,1,0,0,0,1,0,0,0,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)C[C@H](N2C(=O)N(C)CC2=O)C1)c1ccc(Oc2ccccc2)cc1,242683,CHEMBL343855,54.424362,1,0,0,0,1,1,1,1,1,0
S(=O)(=O)(CC(N)(C(=O)NO)c1ccccc1)c1ccc(Oc2ccccc2)cc1,148995,CHEMBL93231,50.493084,1,1,0,1,1,1,1,1,1,0
S(=O)(=O)(C(CC=C(C)C)(CC=C(C)C)C(=O)NO)c1ccc(OC)cc1,124543,CHEMBL310688,63.735676,1,0,0,1,1,0,0,0,1,0
S(=O)(=O)(N1C(C(=O)NO)CN(C(=O)c2ccc(-c3ccccc3)cc2)c2ccccc2C1)c1ccc(OC)cc1,158140,CHEMBL430664,57.090157,1,0,0,0,1,0,0,1,0,0
S(=O)(=O)(N1C(C(=O)NO)CN(C(=O)c2ccccc2)c2ccccc2C1)c1ccc(OC)cc1,158115,CHEMBL96049,57.092815,1,0,0,1,1,0,0,0,1,0
Fc1ccc2nc(-c3ccc(Oc4ccc(OC5(CCOCC)C(=O)NC(=O)NC5=O)cc4)cc3)[nH]c2c1,417761,CHEMBL250554,44.459854,1,0,0,0,0,0,1,1,0,0
S(=O)(=O)(N[C@@H](C(O)=O)C1CCN(C(=O)OC2CCOCC2)CC1)c1sc(-c2ccc(OCC)cc2)cc1,479838,CHEMBL466237,77.883278,1,0,0,0,0,0,0,1,1,0
S(=O)(=O)(c1ccc(Sc2ccccc2)cc1)C1(C(=O)NO)CCN(CC#C)CC1,633725,CHEMBL1082381,39.334419,1,0,0,1,1,1,1,1,1,0
SC1CC(S(=O)(=O)c2ccc(Sc3ccccc3)cc2)CCC1,75739,CHEMBL300697,98.726738,1,0,0,0,0,0,0,0,1,0
O(CC)CCC1(Oc2ccc(Oc3ccc(-c4occ(-c5ccncc5)n4)cc3)cc2)C(=O)NC(=O)NC1=O,368787,CHEMBL220522,97.329338,1,0,0,0,0,0,1,1,0,0
O(CC)CCC1(Oc2ccc(Oc3ccc(C(=O)Nc4cnccc4)cc3)cc2)C(=O)NC(=O)NC1=O,368662,CHEMBL374041,99.269814,1,0,0,0,0,0,1,1,0,0
S(=O)(=O)(c1ccc(N2CCN(c3ccc(OC)cc3)CC2)cc1)C1(C(=O)NO)CCN(C2CC2)CC1,633655,CHEMBL1084510,65.860611,1,0,0,1,1,0,0,0,1,0
Clc1nccc(COc2ccc(S(=O)(=O)N3[C@@H](C(=O)NO)[C@@](O)(C)CCC3)cc2)c1,311472,CHEMBL187474,55.687542,1,1,0,1,1,1,1,1,1,0
S(=O)(=O)(Nc1ccc2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@@H](C(C)C)C(O)=O)cc4)cc3)cc2c1)C,315589,CHEMBL187791,76.172623,1,0,0,0,0,0,0,1,0,0
ONC(=O)[C@@H]1[C@@H](CC(C)C)C(=O)N[C@H](C(=O)NCC(=O)NC)Cc2ccc(OCCC1)cc2,144219,CHEMBL88520,60.013676,1,0,0,0,0,0,0,0,1,0
S(=O)(=O)(N1[C@@H](C(=O)NO)[C@@](O)(C)CCC1)c1ccc(OCc2c(F)cccc2)cc1,309852,CHEMBL182306,55.699169,1,1,0,1,1,1,1,1,1,0
ONC(=O)[C@H](CN1C(=O)c2ccccc2C1=O)[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)NC)C(C)(C)C,119185,CHEMBL74670,54.416351,1,0,0,1,0,0,0,1,0,0
