Model 1,Model 2,Both Correct (YY),M1 Correct / M2 Wrong (YN),M1 Wrong / M2 Correct (NY),Both Wrong (NN),Total,Chi-squared,p-value,Odds Ratio,CI_Lower_X,CI_Upper_Y,p_Bonferroni,p_Holm,Result_Raw,Result_Bonferroni,Result_Holm,Holm_Rank,Holm_Multiplier
U1,U2,9805,77,914,136,10932,705.2431886982846,2.165430977416131e-155,0.08424507658643327,0.06676299899173427,0.10630488498476075,7.795551518698072e-154,6.92937912773162e-154,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),5,32
U1,U3,9838,44,931,119,10932,805.1241025641026,4.1494774010746895e-177,0.047261009667024706,0.03492848741855063,0.06394788895325396,1.4938118643868882e-175,1.4938118643868882e-175,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),1,36
U1,autoph4,9419,463,823,227,10932,100.2185069984448,1.3647825532422322e-23,0.5625759416767923,0.5020311700129092,0.6304223901981849,4.913217191672036e-22,3.002521617132911e-22,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),15,22
U1,dbautoph4,9810,72,927,123,10932,730.0460460460461,8.753614270989644e-161,0.07766990291262135,0.06111008629744914,0.09871715430236332,3.151301137556272e-159,2.8886927094265825e-159,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),4,33
U1,elucidator,9812,70,894,156,10932,702.6234439834025,8.039342552104686e-155,0.07829977628635347,0.06139211000944362,0.09986389074345096,2.894163318757687e-153,2.4921961911524527e-153,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),6,31
U1,reversefp,9828,54,932,118,10932,780.0496957403651,1.1740449133320272e-171,0.05793991416309013,0.04403858397143208,0.07622937321063653,4.226561687995298e-170,4.1091571966620955e-170,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),2,35
U2,autoph4,10163,556,79,134,10932,356.8125984251968,1.3920022871659345e-79,7.037974683544304,5.560328122194808,8.908302991777134,5.011208233797364e-78,3.480005717914836e-78,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),12,25
U2,dbautoph4,10676,43,61,152,10932,2.7788461538461537,0.09551696030594396,0.7049180327868853,0.4771371412384878,1.041439431142003,1.0,0.2865508809178319,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),34,3
U2,elucidator,10636,83,70,143,10932,0.9411764705882353,0.3319754670827342,1.1857142857142857,0.8626743104403473,1.6297209159147161,1.0,0.6639509341654684,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),35,2
U2,reversefp,10693,26,67,146,10932,17.204301075268816,3.3567550841540694e-05,0.3880597014925373,0.24672868287031252,0.6103478937697391,0.001208431830295465,0.00036924305925694766,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),26,11
U3,U2,10701,68,18,145,10932,27.91860465116279,1.2652731827208193e-07,3.7777777777777777,2.2470117294634253,6.351370912371513,4.55498345779495e-06,2.05645031413722e-06,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),21,16
U3,autoph4,10198,571,44,119,10932,449.87967479674796,7.661286131269016e-100,12.977272727272727,9.550038157654933,17.6344434082733,2.7580630072568456e-98,2.2217729780680146e-98,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),8,29
U3,dbautoph4,10728,41,9,154,10932,19.22,1.1648657367199599e-05,4.555555555555555,2.2141343600600787,9.37300228663177,0.00041935166521918555,0.0001397838884063952,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),25,12
