Model 1,Model 2,Both Correct (YY),M1 Correct / M2 Wrong (YN),M1 Wrong / M2 Correct (NY),Both Wrong (NN),Total,Chi-squared,p-value,Odds Ratio,CI_Lower_X,CI_Upper_Y,p_Bonferroni,p_Holm,Result_Raw,Result_Bonferroni,Result_Holm,Holm_Rank,Holm_Multiplier
U1,U2,1,117,0,17064,17182,115.00854700854701,7.835900419773648e-27,inf,,,2.820924151118513e-25,1.0186670545705742e-25,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),24,13
U1,U3,23,95,235,16829,17182,58.54848484848485,1.983423558112459e-14,0.40425531914893614,0.3185407313778457,0.5130344315884687,7.140324809204853e-13,1.7850812023012133e-13,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),28,9
U1,autoph4,61,57,101,16963,17182,11.70253164556962,0.0006241512131928892,0.5643564356435643,0.4078840248792117,0.7808547700455457,0.022469443674944013,0.002496604852771557,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),33,4
U1,dbautoph4,28,90,3205,13859,17182,2942.9426403641883,0.0,0.028081123244929798,0.02277389019575038,0.03462515520708361,0.0,0.0,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),6,31
U1,elucidator,69,49,4715,12349,17182,4568.057304785894,0.0,0.010392364793213149,0.007842990566853874,0.013770416408716868,0.0,0.0,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),5,32
U1,reversefp,0,118,2,17062,17182,110.20833333333333,8.82149703574689e-26,59.0,14.583814816712296,238.68926229171242,3.1757389328688803e-24,9.70364673932158e-25,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),26,11
U2,autoph4,1,0,161,17020,17182,159.0062111801242,1.8654487733268905e-36,0.0,,,6.715615583976806e-35,2.984718037323025e-35,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),21,16
U2,dbautoph4,0,1,3233,13948,17182,3228.0027829313544,0.0,0.0003093102381688834,4.3555747949032074e-05,0.002196560223189037,0.0,0.0,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),12,25
U2,elucidator,0,1,4784,12397,17182,4779.001880877743,0.0,0.00020903010033444816,2.9437619274004668e-05,0.0014842770551222444,0.0,0.0,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),4,33
U2,reversefp,0,1,2,17179,17182,0.0,1.0,0.5,0.04533630518608516,5.514344386333696,1.0,1.0,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),35,2
U3,U2,1,257,0,16924,17182,255.00389105058366,2.1066315158847883e-57,inf,,,7.583873457185238e-56,4.213263031769577e-56,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),17,20
U3,autoph4,31,227,131,16793,17182,25.20949720670391,5.142832039915354e-07,1.7328244274809161,1.3975182146748149,2.1485805801631366,1.8514195343695276e-05,3.599982427940748e-06,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),30,7
U3,dbautoph4,149,109,3084,13840,17182,2770.0206702160976,0.0,0.035343709468223086,0.02919792586602694,0.04278310057727884,0.0,0.0,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),3,34
U3,elucidator,124,134,4660,12264,17182,4271.094075928244,0.0,0.028755364806866954,0.024217826404887708,0.03414307260081445,0.0,0.0,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),2,35
U3,reversefp,0,258,2,16922,17182,250.09615384615384,2.474442066047458e-56,129.0,32.08926866125104,518.5845827672167,8.907991437770849e-55,4.70143992549017e-55,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),18,19
U4,U1,0,0,118,17064,17182,116.00847457627118,4.732698291929702e-27,0.0,,,1.7037713850946926e-25,6.625777608701582e-26,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),23,14
U4,U2,0,0,1,17181,17182,0.0,1.0,0.0,,,1.0,1.0,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),36,1
U4,U3,0,0,258,16924,17182,256.00387596899225,1.2752674365716637e-57,0.0,,,4.59096277165799e-56,2.678061616800494e-56,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),16,21
U4,autoph4,0,0,162,17020,17182,160.00617283950618,1.1279754453082761e-36,0.0,,,4.060711603109794e-35,1.9175582570240695e-35,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),20,17
U4,dbautoph4,0,0,3233,13949,17182,3231.000309310238,0.0,0.0,,,0.0,0.0,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),9,28
U4,elucidator,0,0,4784,12398,17182,4782.0002090301,0.0,0.0,,,0.0,0.0,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),11,26
U4,reversefp,0,0,2,17180,17182,0.5,0.47950012218695337,0.0,,,1.0,1.0,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),34,3
U5,U1,16,13,102,17051,17182,67.3391304347826,2.2859888259327197e-16,0.12745098039215685,0.0715590256871769,0.226997953744258,8.229559773357792e-15,2.2859888259327197e-15,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),27,10
U5,U2,0,29,1,17152,17182,24.3,8.243906238216841e-07,29.0,3.9502905348759825,212.89573325684583,2.9678062457580628e-05,4.946343742930104e-06,U5 is significantly better (p-value),U5 is significantly better (p_Bonferroni),U5 is significantly better (p_Holm),31,6
U5,U3,5,24,253,16900,17182,187.66787003610108,1.0265988822445846e-42,0.09486166007905138,0.06241401715065971,0.1441781023520992,3.695755976080505e-41,1.8478779880402525e-41,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),19,18
U5,U4,0,29,0,17153,17182,27.03448275862069,1.9985815081381854e-07,inf,,,7.194893429297467e-06,1.5988652065105483e-06,U5 is significantly better (p-value),U5 is significantly better (p_Bonferroni),U5 is significantly better (p_Holm),29,8
U5,autoph4,17,12,145,17008,17182,110.98089171974522,5.974378739299806e-26,0.08275862068965517,0.04593271955377762,0.14910916150818118,2.15077634614793e-24,7.169254487159767e-25,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),25,12
U5,dbautoph4,6,23,3227,13926,17182,3156.679692307692,0.0,0.007127362875735978,0.004729404057522285,0.010741163356854933,0.0,0.0,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),14,23
