Model 1,Model 2,Both Correct (YY),M1 Correct / M2 Wrong (YN),M1 Wrong / M2 Correct (NY),Both Wrong (NN),Total,Chi-squared,p-value,Odds Ratio,CI_Lower_X,CI_Upper_Y,p_Bonferroni,p_Holm,Result_Raw,Result_Bonferroni,Result_Holm,Holm_Rank,Holm_Multiplier
U1,U2,1,6,812,2079,2898,792.2066014669927,2.6699096893472257e-174,0.007389162561576354,0.0033098302994991904,0.016496230447120824,9.611674881650013e-173,8.543711005911122e-173,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),5,32
U1,U3,0,7,0,2891,2898,5.142857142857143,0.023342202012890813,inf,,,0.8403192724640692,0.07002660603867245,U1 is significantly better (p-value),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),34,3
U1,autoph4,3,4,121,2770,2898,107.648,3.2101561192495155e-25,0.03305785123966942,0.012209232770416979,0.08950779701997524,1.1556562029298256e-23,4.4942185669493215e-24,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),23,14
U1,dbautoph4,3,4,179,2712,2898,165.44262295081967,7.321848446137346e-38,0.0223463687150838,0.00829600945914322,0.06019281887391291,2.6358654406094445e-36,1.3911512047660957e-36,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),18,19
U1,elucidator,4,3,298,2593,2898,287.16279069767444,2.064281199529311e-64,0.010067114093959731,0.00322839726532387,0.031392290926945655,7.43141231830552e-63,5.160702998823278e-63,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),12,25
U1,reversefp,3,4,7,2884,2898,0.36363636363636365,0.5464935954065822,0.5714285714285714,0.16727588859106993,1.9520482897756366,1.0,0.5464935954065822,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),36,1
U2,autoph4,71,742,53,2032,2898,595.4012578616353,1.6752067205709114e-131,14.0,10.594989642121863,18.499310204209593,6.030744194055281e-130,5.025620161712734e-130,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),7,30
U2,dbautoph4,118,695,64,2021,2898,522.9249011857708,9.776745404537856e-116,10.859375,8.4064273400567,14.028078828292063,3.5196283456336284e-114,2.835256167315978e-114,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),8,29
U2,elucidator,104,709,198,1887,2898,286.76957001102534,2.514497197646244e-64,3.580808080808081,3.0588643560645314,4.191812718389775,9.052189911526478e-63,6.034793274350986e-63,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),13,24
U2,reversefp,6,807,4,2081,2898,793.0998766954377,1.7071835648588753e-174,201.75,75.5355616704648,538.859599370866,6.145860833491951e-173,5.633705764034288e-173,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),4,33
U3,U2,0,0,813,2085,2898,811.0012300123001,2.1888496745727287e-178,0.0,,,7.879858828461823e-177,7.660973861004551e-177,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),3,34
U3,autoph4,0,0,124,2774,2898,122.00806451612904,2.299014986141808e-28,0.0,,,8.276453950110508e-27,3.908325476441073e-27,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),21,16
U3,dbautoph4,0,0,182,2716,2898,180.0054945054945,4.833042830207007e-41,0.0,,,1.7398954188745228e-39,1.0632694226455415e-39,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),15,22
