Model 1,Model 2,Both Correct (YY),M1 Correct / M2 Wrong (YN),M1 Wrong / M2 Correct (NY),Both Wrong (NN),Total,Chi-squared,p-value,Odds Ratio,CI_Lower_X,CI_Upper_Y,p_Bonferroni,p_Holm,Result_Raw,Result_Bonferroni,Result_Holm,Holm_Rank,Holm_Multiplier
U1,U2,0,0,618,2828,3446,616.0016181229773,5.5385381921384456e-136,0.0,,,1.9938737491698404e-134,1.218478402270458e-134,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),15,22
U1,U3,0,0,2126,1320,3446,2124.000470366886,0.0,0.0,,,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),3,34
U1,autoph4,0,0,91,3355,3446,89.01098901098901,3.926254571018932e-21,0.0,,,1.4134516455668157e-19,5.496756399426505e-20,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),23,14
U1,dbautoph4,0,0,69,3377,3446,67.01449275362319,2.6951846369655933e-16,0.0,,,9.702664693076135e-15,2.9647031006621526e-15,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),26,11
U1,elucidator,0,0,1375,2071,3446,1373.0007272727273,1.546924755094451e-300,0.0,,,5.568929118340024e-299,4.3313893142644634e-299,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),9,28
U1,reversefp,0,0,15,3431,3446,13.066666666666666,0.0003005976074404512,0.0,,,0.010821513867856243,0.0015029880372022558,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),33,4
U2,autoph4,84,534,7,2821,3446,511.4158964879852,3.120016999155931e-113,76.28571428571429,36.191910713729605,160.79588198900947,1.123206119696135e-111,4.992027198649489e-112,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),21,16
U2,dbautoph4,69,549,0,2828,3446,547.0018214936248,5.652219048927206e-121,inf,,,2.0347988576137942e-119,1.0173994288068971e-119,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),19,18
U2,elucidator,515,103,860,1968,3446,593.4953271028037,4.3514090572831814e-131,0.11976744186046512,0.09763043686410337,0.146923854799158,1.5665072606219453e-129,8.267677208838045e-130,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),18,19
U2,reversefp,14,604,1,2827,3446,599.0148760330578,2.7420263550874484e-132,604.0,84.94061390687197,4294.953653148544,9.871294878314814e-131,5.484052710174897e-131,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),17,20
U3,U2,572,1554,46,1274,3446,1419.405625,1.2751641906907e-310,33.78260869565217,25.19672302422554,45.29416976907187,4.590591086486506e-309,3.69797615300302e-309,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),8,29
U3,autoph4,84,2042,7,1313,3446,2019.1098096632504,0.0,291.7142857142857,138.89188372806632,612.6868050577099,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),5,32
U3,dbautoph4,68,2058,1,1319,3446,2053.00437105391,0.0,2058.0,289.7486386215625,14617.373252033674,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),2,35
U3,elucidator,1086,1040,289,1031,3446,423.25056433408577,4.785517518654851e-94,3.5986159169550174,3.158877460636594,4.0995691283169435,1.7227863067157463e-92,7.178276277982277e-93,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),22,15
U3,reversefp,15,2111,0,1320,3446,2109.0004737091426,0.0,inf,,,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),4,33
U4,U1,0,0,0,3446,3446,inf,0.0,inf,,,0.0,0.0,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),6,31
U4,U2,0,0,618,2828,3446,616.0016181229773,5.5385381921384456e-136,0.0,,,1.9938737491698404e-134,1.218478402270458e-134,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),16,21
U4,U3,0,0,2126,1320,3446,2124.000470366886,0.0,0.0,,,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),7,30
U4,autoph4,0,0,91,3355,3446,89.01098901098901,3.926254571018932e-21,0.0,,,1.4134516455668157e-19,5.496756399426505e-20,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),24,13
U4,dbautoph4,0,0,69,3377,3446,67.01449275362319,2.6951846369655933e-16,0.0,,,9.702664693076135e-15,2.9647031006621526e-15,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),27,10
U4,elucidator,0,0,1375,2071,3446,1373.0007272727273,1.546924755094451e-300,0.0,,,5.568929118340024e-299,4.3313893142644634e-299,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),10,27
U4,reversefp,0,0,15,3431,3446,13.066666666666666,0.0003005976074404512,0.0,,,0.010821513867856243,0.0015029880372022558,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),32,5
U5,U1,0,58,0,3388,3446,56.01724137931034,7.183826028768954e-14,inf,,,2.5861773703568235e-12,6.465443425892059e-13,U5 is significantly better (p-value),U5 is significantly better (p_Bonferroni),U5 is significantly better (p_Holm),28,9
U5,U2,33,25,585,2803,3446,512.2639344262295,2.040090696091513e-113,0.042735042735042736,0.028637894221656628,0.06377158402187445,7.3443265059294475e-112,3.468154183355572e-112,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),20,17
U5,U3,58,0,2068,1320,3446,2066.0004835589943,0.0,0.0,,,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),1,36
U5,U4,0,58,0,3388,3446,56.01724137931034,7.183826028768954e-14,inf,,,2.5861773703568235e-12,6.465443425892059e-13,U5 is significantly better (p-value),U5 is significantly better (p_Bonferroni),U5 is significantly better (p_Holm),29,8
