Model 1,Model 2,Both Correct (YY),M1 Correct / M2 Wrong (YN),M1 Wrong / M2 Correct (NY),Both Wrong (NN),Total,Chi-squared,p-value,Odds Ratio,CI_Lower_X,CI_Upper_Y,p_Bonferroni,p_Holm,Result_Raw,Result_Bonferroni,Result_Holm,Holm_Rank,Holm_Multiplier
U1,U2,1222,1493,68,31747,34530,1299.0237027546445,1.8424039540307375e-284,21.955882352941178,17.218728593767594,27.996304562851307,6.632654234510655e-283,1.6581635586276638e-283,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),28,9
U1,U3,2486,229,17764,14051,34530,17086.709053520815,0.0,0.012891240711551453,0.011315748795516448,0.014686088396466297,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),24,13
U1,autoph4,1681,1034,743,31072,34530,47.32695554305008,6.00803041041162e-12,1.3916554508748318,1.2664657845847689,1.529220068574226,2.1628909477481831e-10,1.201606082082324e-11,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),35,2
U1,dbautoph4,32,2683,67,31748,34530,2486.6272727272726,0.0,40.04477611940298,31.424088591825157,51.03040903691551,0.0,0.0,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),14,23
U1,elucidator,1415,1300,5896,25919,34530,2934.133546414675,0.0,0.22048846675712347,0.20763673846132236,0.2341356560171694,0.0,0.0,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),13,24
U1,reversefp,2337,378,15681,16134,34530,14580.683977831746,0.0,0.024105605509852687,0.021767652974566665,0.026694665597415332,0.0,0.0,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),12,25
U2,autoph4,1274,16,1150,32090,34530,1100.933962264151,2.0696335921918243e-241,0.01391304347826087,0.008494593130273674,0.02278776344662206,7.450680931890567e-240,1.448743514534277e-240,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),30,7
U2,dbautoph4,20,1270,79,33161,34530,1049.7405485544848,2.7715486475360434e-230,16.075949367088608,12.807769223370649,20.17807656790239,9.977575131129756e-229,1.662929188521626e-229,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),31,6
U2,elucidator,876,414,6435,26805,34530,5291.34180172288,0.0,0.06433566433566433,0.05824947029166045,0.07105777417007447,0.0,0.0,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),7,30
U2,reversefp,1172,118,16846,16394,34530,16493.31107050224,0.0,0.007004630179271044,0.005844540223429012,0.008394987813013661,0.0,0.0,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),6,31
