Model 1,Model 2,Both Correct (YY),M1 Correct / M2 Wrong (YN),M1 Wrong / M2 Correct (NY),Both Wrong (NN),Total,Chi-squared,p-value,Odds Ratio,CI_Lower_X,CI_Upper_Y,p_Bonferroni,p_Holm,Result_Raw,Result_Bonferroni,Result_Holm,Holm_Rank,Holm_Multiplier
U1,U2,1080,668,765,3398,5911,6.431263084438242,0.011212881201654446,0.873202614379085,0.7871166779782189,0.9687036586710063,0.40366372325956007,0.03363864360496334,U2 is significantly better (p-value),Equivalent (p ≥ 0.05),U2 is significantly better (p_Holm),34,3
U1,U3,1639,109,3462,701,5911,3146.430691683002,0.0,0.03148469093009821,0.026019207205025027,0.03809823086278984,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),14,23
U1,autoph4,1539,209,3522,641,5911,2940.0546770302867,0.0,0.05934128336172629,0.0516125339191825,0.0682273789643938,0.0,0.0,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),1,36
U1,dbautoph4,1539,209,3348,815,5911,2768.356480179927,0.0,0.06242532855436081,0.05428388642894472,0.07178781589672655,0.0,0.0,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),10,27
U1,elucidator,1588,160,2930,1233,5911,2481.3466019417474,0.0,0.05460750853242321,0.046574131033989365,0.0640265297905924,0.0,0.0,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),6,31
U1,reversefp,1370,378,2180,1983,5911,1268.02228303362,1.0057604830814392e-277,0.17339449541284405,0.15545665020305574,0.1934021542353021,3.620737739093181e-276,2.2126730627791664e-276,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),15,22
U2,autoph4,1601,244,3460,606,5911,2790.557505399568,0.0,0.07052023121387284,0.061934325441294395,0.08029639420505086,0.0,0.0,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),11,26
U2,dbautoph4,1536,309,3351,715,5911,2526.6887978142076,0.0,0.09221128021486123,0.08206851963212018,0.10360757373203261,0.0,0.0,dbautoph4 is significantly better (p-value),dbautoph4 is significantly better (p_Bonferroni),dbautoph4 is significantly better (p_Holm),3,34
U2,elucidator,1605,240,2913,1153,5911,2264.3780526482715,0.0,0.082389289392379,0.07222810895396115,0.09397996299346428,0.0,0.0,elucidator is significantly better (p-value),elucidator is significantly better (p_Bonferroni),elucidator is significantly better (p_Holm),12,25
U2,reversefp,1443,402,2107,1959,5911,1157.2801913112794,1.1739396900725593e-253,0.19079259610821073,0.17148783532023068,0.21227053605134902,4.2261828842612133e-252,2.4652733491523745e-252,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),16,21
U3,U2,1706,3395,139,671,5911,2998.0263157894738,0.0,24.424460431654676,20.614010519718008,28.939262779886548,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),5,32
U3,autoph4,4458,643,603,207,5911,1.2207062600321028,0.2692220927321873,1.066334991708126,0.9542000721811754,1.1916476928596078,1.0,0.5384441854643746,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),35,2
U3,dbautoph4,4327,774,560,250,5911,34.00974512743628,5.4836736384357295e-09,1.3821428571428571,1.2397379869429956,1.5409053345711983,1.9741225098368626e-07,2.7418368192178646e-08,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),32,5
U3,elucidator,4045,1056,473,337,5911,221.53302812295618,4.1878992357297124e-50,2.2325581395348837,2.0031203389353904,2.4882757912849627,1.5076437248626965e-48,3.35031938858377e-49,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),29,8
U3,reversefp,3166,1935,384,426,5911,1036.0068995256577,2.677939154684236e-227,5.0390625,4.516437524486755,5.622163650274737,9.640580956863249e-226,5.355878309368472e-226,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),17,20
U4,U1,1651,4016,97,147,5911,3732.2450765864332,0.0,41.402061855670105,33.849824591493444,50.639279422780206,0.0,0.0,U4 is significantly better (p-value),U4 is significantly better (p_Bonferroni),U4 is significantly better (p_Holm),8,29
U4,U2,1748,3919,97,147,5911,3635.4683764940237,0.0,40.402061855670105,33.030295390432286,49.419073698693616,0.0,0.0,U4 is significantly better (p-value),U4 is significantly better (p_Bonferroni),U4 is significantly better (p_Holm),9,28
U4,U3,4988,679,113,131,5911,403.0618686868687,1.1868903550619374e-89,6.008849557522124,4.923894119337233,7.332869499190981,4.2728052782229747e-88,1.1868903550619374e-88,U4 is significantly better (p-value),U4 is significantly better (p_Bonferroni),U4 is significantly better (p_Holm),27,10
