Model 1,Model 2,Both Correct (YY),M1 Correct / M2 Wrong (YN),M1 Wrong / M2 Correct (NY),Both Wrong (NN),Total,Chi-squared,p-value,Odds Ratio,CI_Lower_X,CI_Upper_Y,p_Bonferroni,p_Holm,Result_Raw,Result_Bonferroni,Result_Holm,Holm_Rank,Holm_Multiplier
U1,U2,5854,348,322,83,6607,0.9328358208955224,0.33412712135332556,1.0807453416149069,0.9287589595959073,1.2576034732741745,1.0,1.0,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),34,3
U1,U3,6020,182,304,101,6607,30.125514403292183,4.049680498084017e-08,0.5986842105263158,0.4982178394474805,0.7194097753123533,1.457884979310246e-06,2.0248402490420085e-07,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),32,5
U1,autoph4,5310,892,332,73,6607,255.29493464052288,1.8203021153760685e-57,2.6867469879518073,2.368659014095539,3.047551097186735,6.553087615353847e-56,2.730453173064103e-56,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),22,15
U1,dbautoph4,3759,2443,184,221,6607,1940.8313665778455,0.0,13.277173913043478,11.429646590722395,15.42334189582852,0.0,0.0,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),6,31
U1,elucidator,5899,303,282,123,6607,0.6837606837606838,0.4082947463988428,1.074468085106383,0.9136105935273694,1.2636474161872688,1.0,1.0,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),35,2
U1,reversefp,6190,12,313,92,6607,276.9230769230769,3.5166083596075604e-62,0.038338658146964855,0.0215399944731045,0.06823830481224764,1.2659790094587217e-60,5.6265733753720966e-61,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),21,16
U2,autoph4,5416,760,226,205,6607,288.1227180527383,1.2752741745219285e-64,3.3628318584070795,2.8987540887835577,3.901206436128979,4.5909870282789423e-63,2.2954935141394711e-63,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),19,18
U2,dbautoph4,3826,2350,117,314,6607,2019.385488447507,0.0,20.085470085470085,16.682138941070868,24.18311644444419,0.0,0.0,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),5,32
U2,elucidator,5844,332,337,94,6607,0.02391629297458894,0.8770980898002169,0.9851632047477745,0.8466159166861066,1.1463835262959599,1.0,1.0,Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),Equivalent (p ≥ 0.05),36,1
U2,reversefp,6128,48,375,56,6607,251.2434988179669,1.39106800415801e-56,0.128,0.09478090391470244,0.17286182472731734,5.007844814968836e-55,1.808388405405413e-55,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),24,13
U3,U2,5982,342,194,89,6607,40.315298507462686,2.1611006250534877e-10,1.7628865979381443,1.4781415396389639,2.102484149081554,7.779962250192556e-09,1.5127704375374414e-09,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),30,7
U3,autoph4,5440,884,202,81,6607,427.0359116022099,7.178385196313989e-95,4.376237623762377,3.755938001464022,5.098980795787459,2.584218670673036e-93,1.4356770392627977e-93,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),17,20
U3,dbautoph4,3824,2500,119,164,6607,2162.8102329133258,0.0,21.008403361344538,17.479401104780656,25.249893239891463,0.0,0.0,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),2,35
U3,elucidator,5995,329,186,97,6607,39.15339805825243,3.917807949085303e-10,1.7688172043010753,1.4777263075682479,2.1172488343799576,1.4104108616707091e-08,2.3506847694511817e-09,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),31,6
U3,reversefp,6313,11,190,93,6607,157.6318407960199,3.724654901743623e-36,0.05789473684210526,0.031525543534673045,0.10632015116028619,1.340875764627704e-34,4.469585882092347e-35,reversefp is significantly better (p-value),reversefp is significantly better (p_Bonferroni),reversefp is significantly better (p_Holm),25,12
U4,U1,4625,183,1577,222,6607,1102.5278409090909,9.321236658169431e-242,0.1160431198478123,0.09957374899274729,0.1352365035989009,3.355645196940995e-240,2.3303091645423577e-240,U1 is significantly better (p-value),U1 is significantly better (p_Bonferroni),U1 is significantly better (p_Holm),12,25
U4,U2,4653,155,1523,276,6607,1113.6406436233613,3.582492131036405e-244,0.10177281680892974,0.08627113151300062,0.12005993267473394,1.2896971671731058e-242,9.314479540694654e-243,U2 is significantly better (p-value),U2 is significantly better (p_Bonferroni),U2 is significantly better (p_Holm),11,26
U4,U3,4648,160,1676,123,6607,1250.1225490196077,7.806469846674261e-274,0.0954653937947494,0.08117314915144187,0.11227408949458861,2.810329144802734e-272,2.1077468586020506e-272,U3 is significantly better (p-value),U3 is significantly better (p_Bonferroni),U3 is significantly better (p_Holm),10,27
U4,autoph4,4455,353,1187,612,6607,450.5772727272727,5.401137582734109e-100,0.2973883740522325,0.2640702230032006,0.3349103280772352,1.9444095297842794e-98,1.134238892374163e-98,autoph4 is significantly better (p-value),autoph4 is significantly better (p_Bonferroni),autoph4 is significantly better (p_Holm),16,21
U4,dbautoph4,3459,1349,484,1315,6607,407.25368248772503,1.4518912980638204e-90,2.7871900826446283,2.5122617324135854,3.092205106085531,5.2268086730297534e-89,2.7585934663212587e-89,U4 is significantly better (p-value),U4 is significantly better (p_Bonferroni),U4 is significantly better (p_Holm),18,19
